date,mean_compound_reuters,mean_compound_guardian,mean_compound_cnbc,mean_compound_other,mean_compound_twitter,Adj Close
2015/05/14,0.0,0.0,0.0,0.0593,0.0994212686567164,21.61400032043457
2015/05/15,0.0,0.0,0.0,0.3182,0.116538255033557,21.299999237060547
2015/05/18,0.0,0.0,0.0,0.0,0.1010746478873239,21.261999130249023
2015/05/19,0.0,0.0,0.0,-0.0260333333333333,0.1615407692307692,21.08550071716309
2015/05/20,0.0,0.0,0.0,0.5423,0.1027808791208791,21.19300079345703
2015/05/21,0.0,0.0,0.0,0.7395666666666667,0.1435388663967611,21.581499099731445
2015/05/22,0.0,0.0,0.0,0.0266375,0.1203801566579634,21.381500244140625
2015/05/26,0.0,0.0,0.0,0.1779,0.0697183529411764,21.273500442504883
2015/05/27,0.0,0.0,0.0,0.0,0.1264416666666666,21.570999145507812
2015/05/28,0.0,0.0,0.0,0.02766,0.1715023136246786,21.328500747680664
2015/05/29,0.0,0.0,0.0,0.1779,0.1328045070422535,21.46150016784668
2015/06/01,0.0,0.0,0.0,0.0,0.1648826923076923,21.54599952697754
2015/06/02,0.0,0.0,0.0,0.0,0.1435075418994413,21.54949951171875
2015/06/03,0.0,0.0,0.0,0.1779,0.134024449339207,21.829500198364254
2015/06/04,0.0,0.0,0.0,0.0,0.1553473239436619,21.538999557495117
2015/06/05,0.0,0.0,0.0,0.0,0.1038119496855345,21.34749984741211
2015/06/08,0.0,0.0,0.0,0.1545,0.1477850282485875,21.174999237060547
2015/06/09,0.0,0.0,0.0,0.1779,0.120176728110599,21.27400016784668
2015/06/10,0.0,0.0,0.0,0.0,0.1844541772151898,21.53849983215332
2015/06/11,0.0,0.0,0.0,0.2732,0.1430524904214559,21.648500442504883
2015/06/12,0.0,0.0,0.0,0.1779,0.13546706231454,21.496000289916992
2015/06/15,0.0,0.0,0.0,0.0,0.1322981382978723,21.183500289916992
2015/06/16,0.0,0.0,0.0,0.1023166666666666,0.097734335839599,21.363000869750977
2015/06/17,0.0,0.0,0.0,0.0,0.118719794344473,21.39049911499023
2015/06/18,0.0,0.0,0.0,0.0516,0.152151663405088,21.969499588012695
2015/06/19,0.0,0.0,0.0,0.0222375,0.136373645320197,21.746000289916992
2015/06/22,0.0,0.0,0.0,0.2805428571428571,0.1161936675461741,21.81450080871582
2015/06/23,0.0,0.0,0.0,-0.4767,0.1348102420856611,22.29949951171875
2015/06/24,0.0,0.0,0.0,-0.0767799999999999,0.1442442176870748,22.04199981689453
2015/06/25,0.0,0.0,0.0,0.011325,0.1560569037656904,22.0049991607666
2015/06/26,0.0,0.0,0.0,0.0,0.1397545454545454,21.905000686645508
2015/06/29,0.0,0.0,0.0,0.4846,0.1709222527472527,21.493000030517575
2015/06/30,0.0,0.0,0.0,0.0593,0.1902565048543689,21.704500198364254
2015/07/01,0.0,0.0,0.0,0.0,0.1441284090909091,21.86949920654297
2015/07/02,0.0,0.0,0.0,0.0,0.2100240506329113,21.885499954223633
2015/07/06,0.0,0.0,0.0,-0.2433444444444444,0.249728855721393,21.802000045776367
2015/07/07,0.0,0.0,0.0,0.1779,0.1676854320987654,21.836000442504883
2015/07/08,0.0,0.0,0.0,0.07116,0.2000774193548387,21.48500061035156
2015/07/09,0.0,0.0,0.0,0.07116,0.1604098039215686,21.719499588012695
2015/07/10,0.0,0.0,0.0,0.0,0.1459578512396694,22.175500869750977
2015/07/13,0.0,0.0,0.0,0.1779,0.185758275058275,22.778499603271484
2015/07/14,0.0,0.0,0.0,0.28924,0.1798345351043643,23.278499603271484
2015/07/15,0.0,0.0,0.0,0.0,0.1685279754601227,23.059499740600582
2015/07/16,0.0,0.0,0.0,0.0,0.1263056701030928,23.77400016784668
2015/07/17,0.0,0.0,0.0,0.4568,0.1589952380952381,24.15049934387207
2015/07/20,0.0,0.0,0.0,0.1132090909090909,0.1779118673647469,24.405000686645508
2015/07/21,0.0,0.0,0.0,0.0,0.1732534988713318,24.399999618530273
2015/07/22,0.0,0.0,0.0,0.0,0.1405312227074235,24.41349983215332
2015/07/23,0.0,0.0,0.0,-0.34338,0.2008180416666666,24.108999252319336
2015/07/24,0.0,0.0,0.0,0.3514625,0.1939142599277978,26.47100067138672
2015/07/27,0.0,0.0,0.0,0.044475,0.1359038812785388,26.570499420166016
2015/07/28,0.0,0.0,0.0,0.1779,0.1444936974789916,26.30150032043457
2015/07/29,0.0,0.0,0.0,0.1779,0.1269175627240143,26.450000762939453
2015/07/30,0.0,0.0,0.0,0.3292666666666666,0.1311554474708171,26.83799934387207
2015/07/31,0.0,0.0,0.0,-0.0258,0.0883662763466042,26.8075008392334
2015/08/03,0.0,0.0,0.0,0.1779,0.1228766233766233,26.75149917602539
2015/08/04,0.0,0.0,0.0,0.2941666666666666,0.1846048387096774,26.594999313354492
2015/08/05,0.0,0.0,0.0,0.5574,0.1761626543209876,26.850500106811523
2015/08/06,0.0,0.0,0.0,0.0,0.1191242352941176,26.472999572753903
2015/08/07,0.0,0.0,0.0,0.0,0.1099997840172786,26.131000518798828
2015/08/10,0.0,0.0,0.0,0.0,0.1159967441860465,26.200000762939453
2015/08/11,0.0,0.0,0.0,0.0,0.1271873188405797,26.37299919128418
2015/08/12,0.0,0.0,0.0,0.0,0.097117716535433,26.295499801635746
2015/08/13,0.0,0.0,0.0,0.1779,0.0982277008310249,26.482999801635746
2015/08/14,0.0,0.0,0.0,0.1779,0.0831975476839237,26.576000213623047
2015/08/17,0.0,0.0,0.0,0.039075,0.1069066361556064,26.76099967956543
2015/08/18,0.0,0.0,0.0,0.0,0.1050550239234449,26.750999450683594
2015/08/19,0.0,0.0,0.0,0.0,0.1534580756013746,26.645999908447266
2015/08/20,0.0,0.0,0.0,0.0,0.0656615702479338,25.788999557495117
2015/08/21,0.0,0.0,0.0,0.315,0.1033578947368421,24.723499298095703
2015/08/24,0.0,0.0,0.0,-0.1482399999999999,0.0536365671641791,23.168500900268555
2015/08/25,0.0,0.0,0.0,0.272775,0.137435,23.318500518798828
2015/08/26,0.0,0.0,0.0,0.14774,0.0949501436781609,25.03849983215332
2015/08/27,0.0,0.0,0.0,-0.0091666666666666,0.110520294599018,25.918500900268555
2015/08/28,0.0,0.0,0.0,0.286525,0.1026053254437869,25.90049934387207
2015/08/31,0.0,0.0,0.0,0.08895,0.1638487421383647,25.644500732421875
2015/09/01,0.0,0.0,0.0,0.1779,0.1067705223880597,24.82699966430664
2015/09/02,0.0,0.0,0.0,0.1779,0.086237610619469,25.52750015258789
2015/09/03,0.0,0.0,0.0,0.0,0.11317,25.236000061035156
2015/09/04,0.0,0.0,0.0,0.00468125,0.0669583050847457,24.950000762939453
2015/09/08,0.0,0.0,0.0,0.147325,0.1140113259668508,25.87700080871582
2015/09/09,0.0,0.0,0.0,0.3134222222222222,0.0955216326530612,25.844499588012695
2015/09/10,0.0,0.0,0.0,0.0,0.0802860655737705,26.11199951171875
2015/09/11,0.0,0.0,0.0,0.1779,0.0931855263157894,26.472000122070312
2015/09/14,0.0,0.0,0.0,0.0,0.0891712230215827,26.069000244140625
2015/09/15,0.0,0.0,0.0,0.133425,0.1028762790697674,26.118499755859375
2015/09/16,0.0,0.0,0.0,0.10674,0.103298623853211,26.36949920654297
2015/09/17,0.0,0.0,0.0,0.1779,0.0708780405405405,26.943500518798828
2015/09/18,0.0,0.0,0.0,0.1779,0.1432062630480167,27.01300048828125
2015/09/21,0.0,0.0,0.0,0.28595,0.1162529411764705,27.41950035095215
2015/09/22,0.0,0.0,0.0,0.0,0.1366387323943662,26.920000076293945
2015/09/23,0.0,0.0,0.0,0.0,0.1274822622107969,26.80349922180176
2015/09/24,0.0,0.0,0.0,0.3872142857142857,0.0924909937888198,26.6875
2015/09/25,0.0,0.0,0.0,-0.1382142857142857,0.1311294642857143,26.212499618530273
2015/09/28,0.0,0.0,0.0,0.4874666666666667,0.1648111363636363,25.20299911499023
2015/09/29,0.0,0.0,0.0,0.1779,0.1388692144373673,24.80349922180176
2015/09/30,0.0,0.0,0.0,0.2285142857142857,0.0935328244274809,25.594499588012695
2015/10/01,0.0,0.0,0.0,0.02495,0.084699150141643,26.035999298095703
2015/10/02,0.0,0.0,0.0,0.2330166666666666,0.1123736180904522,26.62700080871582
2015/10/05,0.0,0.0,0.0,-0.0052666666666666,0.1405974285714285,27.18400001525879
2015/10/06,0.0,0.0,0.0,0.3522999999999999,0.083798023715415,26.874000549316406
2015/10/07,0.0,0.0,0.0,0.1779,0.0913196388261851,27.097000122070312
2015/10/08,0.0,0.0,0.0,0.14001,0.0892638447971781,26.65800094604492
2015/10/09,0.0,0.0,0.0,0.4215,0.1357876923076923,26.989999771118164
2015/10/12,0.0,0.0,0.0,0.0,0.1531165165165165,27.50950050354004
2015/10/13,0.0,0.0,0.0,0.39708,0.1901872641509434,27.44499969482422
2015/10/14,0.0,0.0,0.0,0.0,0.0951936995153473,27.241500854492188
2015/10/15,0.0,0.0,0.0,0.0,0.1399278662420382,28.121999740600582
2015/10/16,0.0,0.0,0.0,0.7845,0.118589953271028,28.538000106811523
2015/10/19,0.0,0.0,0.0,0.2027428571428571,0.09795,28.657499313354492
2015/10/20,0.0,0.0,0.0,0.00674,0.1505647519582245,28.04400062561035
2015/10/21,0.0,0.0,0.0,0.1779,0.1103207084468664,27.78849983215332
2015/10/22,0.0,0.0,0.0,0.4766999999999999,0.1788728434504792,28.195499420166016
2015/10/23,0.0,0.0,0.0,0.0,0.1777507335907336,29.951499938964844
