date,mean_compound_reuters,mean_compound_reuters,mean_compound_cnbc,mean_compound_other,mean_compound_twitter,mean TH,Close,Volume,Open,High,Low,Adj Close
2017/01/03,0.0,0.0,0.0,0.0,0.1467302245250431,4.0,37.68349838256836,70422000.0,37.895999908447266,37.9379997253418,37.3849983215332,37.68349838256836
2017/01/04,0.0,0.0,0.0,-0.0258,0.1376349436392914,3.8333333333333335,37.85900115966797,50210000.0,37.91949844360352,37.98400115966797,37.709999084472656,37.85900115966797
2017/01/05,0.0,0.0,0.0,0.4058,0.1194424159854677,3.8,39.022499084472656,116602000.0,38.07749938964844,39.119998931884766,38.01300048828125,39.022499084472656
2017/01/06,0.0,0.0,0.0,-0.0795444444444444,0.1506371352785145,3.2222222222222223,39.79949951171875,119724000.0,39.11800003051758,39.97200012207031,38.92399978637695,39.79949951171875
2017/01/09,0.0,0.0,0.0,0.5385666666666666,0.167565234375,3.0,39.84600067138672,68922000.0,39.900001525878906,40.0885009765625,39.5885009765625,39.84600067138672
2017/01/10,0.0,0.0,0.0,0.1779,0.1714664215686274,3.0,39.79499816894531,51168000.0,39.83000183105469,39.900001525878906,39.47700119018555,39.79499816894531
2017/01/11,0.0,0.0,0.0,0.1779,0.172016129032258,2.857142857142857,39.95100021362305,59856000.0,39.68299865722656,39.974998474121094,39.47549819946289,39.95100021362305
2017/01/12,0.0,0.0,0.0,0.1901,0.1828963033175355,3.0,40.68199920654297,97478000.0,40.015499114990234,40.70650100708008,39.974998474121094,40.68199920654297
2017/01/13,0.0,0.0,0.0,0.063968,0.1726881638846737,3.56,40.85699844360352,75838000.0,40.71599960327149,41.08250045776367,40.56999969482422,40.85699844360352
2017/01/17,0.0,0.0,0.0,0.0233428571428571,0.1660093406593406,4.285714285714286,40.48600006103515,73410000.0,40.78499984741211,40.79999923706055,40.172000885009766,40.48600006103515
2017/01/18,0.0,0.0,0.0,0.2202,0.128765948275862,3.0,40.374000549316406,47084000.0,40.474998474121094,40.58649826049805,40.2135009765625,40.374000549316406
2017/01/19,0.0,0.0,0.0,0.1451,0.1472059633027523,3.6666666666666665,40.45199966430664,50816000.0,40.5,40.675498962402344,40.36600112915039,40.45199966430664
2017/01/20,0.0,0.0,0.0,0.42502,0.1940997354497354,3.8,40.416500091552734,67524000.0,40.76399993896485,40.80099868774414,40.3129997253418,40.416500091552734
2017/01/23,0.0,0.0,0.0,0.17102,0.1581763671875,3.933333333333333,40.89400100708008,55950000.0,40.34000015258789,40.92499923706055,40.25400161743164,40.89400100708008
2017/01/24,0.0,0.0,0.0,0.4498999999999999,0.1691559546313799,3.4,41.12200164794922,59434000.0,41.099998474121094,41.199501037597656,40.724998474121094,41.12200164794922
