date,mean_compound_reuters,mean_compound_guardian,mean_compound_cnbc,mean_compound_other,mean_compound_stocktwits,mean_compound_twitter,Adj Close
2019/07/24,-0.3612,0.25,0.0,0.1779,0.1269957328385899,0.1343432758620689,100.04049682617188
2019/07/25,0.4404,-0.0258,0.0,0.1272,0.1083269135802469,0.1330371338912134,98.69100189208984
2019/07/26,0.0,0.0,0.0,-0.005725,0.0899772836538461,0.1324685483870968,97.15249633789062
2019/07/29,0.1779,0.5423,0.0,0.4404,0.1123099467140319,0.1475112595419847,95.62249755859376
2019/07/30,0.0258,0.0,0.0,0.2566181818181818,0.1229634032634032,0.1584093220338983,94.92649841308594
2019/07/31,0.08895,0.0,0.0,0.1779,0.043134693877551,0.1558044052863436,93.33899688720705
2019/08/01,0.29015,0.0,0.0,0.0,0.1283848167539267,0.168966835016835,92.76599884033205
2019/08/02,0.1779,0.0,0.0,0.24444,0.0431564254062038,0.1504768267223382,91.16200256347656
2019/08/05,0.0,0.0,0.0,0.5343,0.0576888520971302,0.171480202020202,88.25650024414062
2019/08/06,0.1268999999999999,0.0,0.0,0.2941666666666666,0.0998061111111111,0.1444906698564593,89.3915023803711
2019/08/07,0.1779,-0.2732,0.0,0.0762428571428571,0.0785913412563667,0.1657002298850574,89.66999816894531
2019/08/08,0.0,0.0,0.0,0.0,0.0999678191489361,0.1958095823095823,91.64450073242188
2019/08/09,0.0,0.0,0.0,0.38295,0.0437497382198952,0.1831473520249221,90.37899780273438
2019/08/12,-0.3141,0.0,0.0,0.1779,0.0509442857142857,0.1977623376623376,89.24600219726562
2019/08/13,0.1779,0.0,0.0,0.1779,0.1305857476635514,0.1705152173913043,91.21700286865234
2019/08/14,0.6124,0.0,0.0,0.3612,0.0434045871559633,0.1455818181818181,88.14800262451172
2019/08/15,0.0,0.0,0.0,0.5662200000000001,0.1144060737527115,0.1632271255060728,88.80599975585938
2019/08/16,-0.6124,0.1779,0.0,0.1779,0.0790467105263157,0.2220514806378132,89.62850189208984
2019/08/19,0.0,0.0,0.0,0.0,0.076672514619883,0.2041828496042216,90.80599975585938
2019/08/20,0.0,-0.1779,0.0,0.14345,0.0987856459330143,0.139813671875,90.06900024414062
2019/08/21,0.0,0.0,0.0,0.1111875,0.1875023569023569,0.1768983050847457,91.177001953125
2019/08/22,0.4767,0.0,0.0,0.0,0.0999305555555555,0.1897470363288719,90.23300170898438
2019/08/23,0.0109,-0.4215,0.0,0.40848,0.0486079937304075,0.1489115942028985,87.48100280761719
2019/08/26,0.0,0.5574,0.0,0.0,0.0851112866817155,0.1803204188481675,88.44349670410156
2019/08/27,0.0,0.0,0.0,0.5048333333333334,0.0881951923076923,0.0953527593818984,88.09149932861328
2019/08/28,0.1779,0.0,0.0,0.0,0.0780009259259259,0.1303723076923076,88.2125015258789
2019/08/29,0.0,0.0,0.0,0.0,0.1323452991452991,0.206275487012987,89.31999969482422
2019/08/30,0.1779,0.0,0.0,0.1779,0.0819081395348837,0.1714983277591973,88.81449890136719
2019/09/03,0.0,0.0,0.0,0.1779,0.1475232843137255,0.1646708766716196,89.49199676513672
2019/09/04,0.1779,0.0,0.0,0.4748,0.13111926910299,0.1899340388007054,90.03099822998047
2019/09/05,0.0,0.0,0.0,0.1779,0.0965799549549549,0.2227938610662358,92.03600311279295
2019/09/06,0.0,0.0,0.5267,0.0,0.1165874635568513,0.2170426386233269,91.67549896240234
2019/09/09,0.0,0.0,0.0,0.0,0.0764233050847457,0.1315694300518134,91.56749725341795
2019/09/10,0.0,0.4939,0.0,0.2414333333333333,0.1172565916398713,0.1705552132701421,91.02749633789062
2019/09/11,0.0,0.0,0.0,0.053875,0.1458119241192411,0.1284593314763231,91.14949798583984
2019/09/12,-0.6369,0.2732,0.0,0.1779,0.0979185595567867,0.1616657430730478,92.17749786376952
