date,mean compound,TH,mean compound twitter,Close,Volume,Open,High,Low,Adj Close
2017/01/03,0.025825,7.642857142857143,0.1133479642502482,116.1500015258789,28781900.0,115.8000030517578,116.33000183105467,114.76000213623048,110.69115447998048
2017/01/04,0.0,7.083333333333333,0.1101147644927536,116.0199966430664,21118100.0,115.8499984741211,116.51000213623048,115.75,110.56727600097656
2017/01/05,0.0385366666666666,8.283333333333333,0.1029462815884476,116.61000061035156,22193600.0,115.91999816894533,116.86000061035156,115.80999755859376,111.12956237792967
2017/01/06,0.0052212121212121,9.515151515151516,0.0558728581220013,117.91000366210938,31751900.0,116.77999877929688,118.16000366210938,116.47000122070312,112.36846923828124
2017/01/09,0.1495849999999999,7.425,0.1072392834293026,118.98999786376952,33561900.0,117.9499969482422,119.43000030517578,117.94000244140624,113.39769744873048
2017/01/10,-0.0318266666666666,7.466666666666666,0.0983313922356091,119.11000061035156,24462100.0,118.7699966430664,119.37999725341795,118.3000030517578,113.51206970214844
2017/01/11,0.2257,8.095238095238095,0.1036405906593406,119.75,27588600.0,118.73999786376952,119.93000030517578,118.5999984741211,114.12198638916016
2017/01/12,0.0237222222222222,8.666666666666668,0.1230522827687776,119.25,27086200.0,118.9000015258789,119.3000030517578,118.20999908447266,113.64545440673828
2017/01/13,-0.1472166666666666,7.541666666666666,0.0832031496062992,119.04000091552734,26111900.0,119.11000061035156,119.62000274658205,118.80999755859376,113.44534301757812
2017/01/17,0.0253166666666666,7.333333333333334,0.0736397600685518,120.0,34439800.0,118.33999633789062,120.23999786376952,118.22000122070312,114.36023712158205
2017/01/18,-0.0670249999999999,6.875,0.0872226833976834,119.98999786376952,23713000.0,120.0,120.5,119.70999908447266,114.35069274902344
2017/01/19,0.04995,8.0,0.0942210350584307,119.77999877929688,25597300.0,119.4000015258789,120.08999633789062,119.37000274658205,114.15055847167967
2017/01/20,0.0091124999999999,8.1,0.1509111111111111,120.0,32597900.0,120.4499969482422,120.4499969482422,119.7300033569336,114.36023712158205
2017/01/23,-0.5045999999999999,5.5,0.0705403630077787,120.08000183105467,22050200.0,120.0,120.80999755859376,119.7699966430664,114.4364776611328
2017/01/24,0.0743291666666667,7.583333333333334,0.0969103960396039,119.97000122070312,23211000.0,119.5500030517578,120.0999984741211,119.5,114.33164978027344
2017/01/25,0.1448966666666666,8.566666666666666,0.080821777476255,121.87999725341795,32377600.0,120.41999816894533,122.0999984741211,120.27999877929688,116.1518783569336
2017/01/26,0.296,7.5,0.0866835360908353,121.94000244140624,26337600.0,121.66999816894533,122.44000244140624,121.5999984741211,116.20904541015624
2017/01/27,0.1767333333333333,7.0,0.0896512380952381,121.9499969482422,20562900.0,122.13999938964844,122.3499984741211,121.5999984741211,116.21858215332033
2017/01/30,0.040165,5.525,0.1075994601889338,121.62999725341795,30377500.0,120.93000030517578,121.62999725341795,120.66000366210938,115.91360473632812
2017/01/31,0.0759988095238095,6.55952380952381,0.1066878272251309,121.3499984741211,49201000.0,121.1500015258789,121.38999938964844,120.62000274658205,115.6467742919922
2017/02/01,0.1325249999999999,6.083333333333333,0.1054455932649302,128.75,111985000.0,127.02999877929688,130.49000549316406,127.01000213623048,122.69898986816406
2017/02/02,-0.083125,11.0,0.1113795257374204,128.52999877929688,33710400.0,127.9800033569336,129.38999938964844,127.77999877929688,122.48934173583984
2017/02/03,0.1901,6.0,0.0866368906455863,129.0800018310547,24507300.0,128.30999755859375,129.19000244140625,128.16000366210938,123.01349639892578
2017/02/06,0.10735,7.4,0.0199681364392678,130.2899932861328,26845900.0,129.1300048828125,130.5,128.89999389648438,124.1666259765625
2017/02/07,0.0871983333333333,7.7333333333333325,0.085717776203966,131.52999877929688,38183800.0,130.5399932861328,132.08999633789062,130.4499969482422,125.34832763671876
2017/02/08,0.2586766666666666,10.5,0.0925818777292576,132.0399932861328,23004100.0,131.35000610351562,132.22000122070312,131.22000122070312,125.83436584472656
2017/02/09,-0.0791,6.0,0.0876379603399433,132.4199981689453,28349900.0,131.64999389648438,132.4499969482422,131.1199951171875,126.74364471435548
2017/02/10,-0.1858,4.833333333333334,0.0598058287795992,132.1199951171875,20065500.0,132.4600067138672,132.94000244140625,132.0500030517578,126.45648956298828
