date,mean_compound_reuters,mean_compound_guardian,mean_compound_cnbc,mean_compound_other,mean_compound_twitter,Adj Close
2017/12/26,0.0,0.0,0.0,0.0,0.2890978787878788,58.8380012512207
2017/12/27,0.0,0.0,0.0,0.0,0.3069662921348314,59.112998962402344
2017/12/28,0.0,0.0,0.0,0.07116,0.1880234413965087,59.30500030517578
2017/12/29,0.0,0.0,0.0,0.0,0.1713935560859188,58.4734992980957
2018/01/02,0.0,0.0,0.0,0.0,0.1829461382113821,59.45050048828125
2018/01/03,0.0,0.0,0.0,-0.0260333333333333,0.1660268292682926,60.209999084472656
2018/01/04,0.0,0.0,0.0,0.3421,0.2189040598290598,60.47949981689453
2018/01/05,0.0,0.1779,0.0,0.1755666666666666,0.1873579901153212,61.457000732421875
2018/01/08,0.0,0.0,0.0,0.1779,0.2323315217391304,62.34349822998047
2018/01/09,0.0,0.0,0.0,0.1779,0.1870631027253669,62.6349983215332
2018/01/10,0.0,0.0,0.0,0.1779,0.2198981132075471,62.71649932861328
2018/01/11,0.0,0.5574,0.0,0.1779,0.2018863095238095,63.83399963378906
2018/01/12,0.0,0.0,0.0,0.24644,0.2111892605633802,65.26000213623047
2018/01/16,0.0,0.0,0.1779,0.1779,0.2263527607361963,65.24299621582031
2018/01/17,0.0,0.0,0.0,0.0,0.2200627659574468,64.75
2018/01/18,0.0,0.0,0.0,0.24785,0.2262539940828402,64.66600036621094
2018/01/19,0.0,0.2023,0.1779,0.4307999999999999,0.1758734627831715,64.72899627685547
2018/01/22,0.0,0.0,0.0,0.120525,0.1909176245210728,66.3655014038086
2018/01/23,0.0,0.0,0.0,0.1779,0.2173318725099601,68.12699890136719
2018/01/24,0.0,0.0,0.0,0.1779,0.1743625792811839,67.87550354003906
2018/01/25,0.0,0.1779,0.0,0.0,0.1702867768595041,68.89749908447266
2018/01/26,0.0,0.0,0.0,0.0,0.1744118644067796,70.10250091552734
2018/01/29,0.0,0.0,0.0,0.5267,0.1927307032590051,70.88400268554688
2018/01/30,0.0,0.4215,0.3853999999999999,0.117916,0.1972629363449692,71.89099884033203
2018/01/31,0.0,0.0,0.0,0.0884375,0.1951896153846154,72.54450225830078
2018/02/01,0.0,0.2074,0.1779,0.1779,0.1539078171091445,69.5
2018/02/02,0.0,0.0,0.1779,0.58022,0.185809480812641,71.49749755859375
2018/02/05,0.0,0.0,0.0,0.08895,0.1665224736048265,69.5
2018/02/06,0.0,0.0,0.0,0.1779,0.1697161137440758,72.14199829101562
2018/02/07,0.0,0.0,0.0,0.0,0.2000844221105527,70.83899688720703
2018/02/08,0.0,0.0,0.0,0.0,0.1680729090909091,67.5250015258789
2018/02/09,0.0,0.0,0.5423,0.17435,0.1755839425587467,66.9800033569336
2018/02/12,0.0,0.0,0.0,0.0,0.24268125,69.3115005493164
2018/02/13,0.0,0.0,0.0,0.15365,0.1754833333333333,70.72550201416016
2018/02/14,0.0,0.0,0.0,0.0,0.1957084507042253,72.55249786376953
2018/02/15,0.0,0.0,0.0,0.5693,0.1787015086206896,73.08799743652344
2018/02/16,0.0,0.0772,0.0,0.1779,0.1714806295399515,72.43450164794922
2018/02/20,0.0,0.0,0.0,0.5423,0.2117854368932038,73.4175033569336
2018/02/21,0.0,0.0,0.0,0.13482,0.1601556591211717,74.14600372314453
2018/02/22,0.0,0.0,0.0,0.1779,0.1691542553191489,74.26699829101562
2018/02/23,0.0,0.0,0.0,0.1779,0.1751772340425532,75.0
2018/02/26,0.0,0.0,0.0,0.006575,0.1802527272727272,76.09750366210938
2018/02/27,0.0,0.0,0.0,0.1779,0.2139220532319391,75.5989990234375
